Round,FPR,FRR
0,0.0,1.0
1,0.0,0.2
2,0.0,0.03333333333333333
3,0.0,0.8
4,0.0,0.36666666666666664
5,0.0,0.1
6,0.0,0.0
7,0.12857142857142856,0.0
8,0.21428571428571427,0.6
9,0.08571428571428572,0.3333333333333333
10,0.0,0.1
11,0.0,0.03333333333333333
12,0.0,0.0
13,0.14285714285714285,0.0
14,0.24285714285714285,0.0
15,0.35714285714285715,0.5666666666666667
16,0.2857142857142857,0.43333333333333335
17,0.04285714285714286,0.1
18,0.014285714285714285,0.06666666666666667
19,0.0,0.0
20,0.14285714285714285,0.0
21,0.24285714285714285,0.0
22,0.32857142857142857,0.0
23,0.37142857142857144,0.0
24,0.37142857142857144,0.4666666666666667
25,0.32857142857142857,0.5
26,0.1,0.3
27,0.014285714285714285,0.1
28,0.014285714285714285,0.0
29,0.1,0.0
30,0.1,0.0
31,0.2,0.0
32,0.2,0.0
33,0.2,0.0
34,0.2,0.0
35,0.18571428571428572,0.36666666666666664
36,0.18571428571428572,0.4
37,0.04285714285714286,0.4
38,0.04285714285714286,0.3
39,0.0,0.03333333333333333
40,0.0,0.03333333333333333
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.23333333333333334
49,0.0,0.3333333333333333
50,0.0,0.3
0,0.0,1.0
1,0.0,0.3
2,0.0,0.06666666666666667
3,0.0,0.7
4,0.0,0.36666666666666664
5,0.0,0.13333333333333333
6,0.0,0.0
7,0.11428571428571428,0.0
8,0.2,0.5666666666666667
9,0.08571428571428572,0.4
10,0.0,0.3
11,0.0,0.06666666666666667
12,0.0,0.03333333333333333
13,0.0,0.0
14,0.17142857142857143,0.0
15,0.2714285714285714,0.4666666666666667
16,0.2714285714285714,0.26666666666666666
17,0.17142857142857143,0.3333333333333333
18,0.0,0.1
19,0.0,0.06666666666666667
20,0.0,0.0
21,0.15714285714285714,0.0
22,0.2857142857142857,0.0
23,0.35714285714285715,0.0
24,0.34285714285714286,0.43333333333333335
25,0.2571428571428571,0.3
26,0.17142857142857143,0.3333333333333333
27,0.02857142857142857,0.1
28,0.0,0.1
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.3
36,0.0,0.3
37,0.0,0.36666666666666664
38,0.0,0.13333333333333333
39,0.0,0.13333333333333333
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.23333333333333334
49,0.0,0.26666666666666666
50,0.0,0.43333333333333335
