Round,FPR,FRR
0,0,0
1,0.0,0.26666666666666666
2,0.0,0.23333333333333334
3,0.0,0.26666666666666666
4,0.0,0.3
5,0.0,0.26666666666666666
6,0.0,0.4666666666666667
7,0.0,0.3333333333333333
8,0.0,0.43333333333333335
9,0.0,0.3
10,0.0,0.06666666666666667
11,0.0,0.23333333333333334
12,0.0,0.26666666666666666
13,0.0,0.16666666666666666
14,0.0,0.2
15,0.0,0.3
16,0.0,0.3
17,0.0,0.4
18,0.0,0.36666666666666664
19,0.0,0.23333333333333334
20,0.0,0.23333333333333334
21,0.0,0.3
22,0.0,0.26666666666666666
23,0.0,0.4
24,0.0,0.2
25,0.0,0.23333333333333334
26,0.0,0.3
27,0.0,0.2
28,0.0,0.2
29,0.0,0.26666666666666666
30,0.0,0.16666666666666666
31,0.0,0.1
32,0.0,0.13333333333333333
33,0.0,0.3333333333333333
34,0.0,0.26666666666666666
35,0.0,0.3
36,0.0,0.3333333333333333
37,0.0,0.26666666666666666
38,0.0,0.3
39,0.0,0.3333333333333333
40,0.0,0.2
41,0.0,0.1
42,0.0,0.2
43,0.0,0.26666666666666666
44,0.0,0.3
45,0.0,0.13333333333333333
46,0.0,0.2
47,0.0,0.43333333333333335
48,0.0,0.3333333333333333
49,0.0,0.3
50,0.0,0.36666666666666664
0,0,0
1,0.0,0.2
2,0.0,0.26666666666666666
3,0.0,0.2
4,0.0,0.26666666666666666
5,0.0,0.2
6,0.0,0.13333333333333333
7,0.0,0.23333333333333334
8,0.0,0.26666666666666666
9,0.0,0.23333333333333334
10,0.0,0.2
11,0.0,0.26666666666666666
12,0.0,0.26666666666666666
13,0.0,0.26666666666666666
14,0.0,0.26666666666666666
15,0.0,0.4
16,0.0,0.2
17,0.0,0.26666666666666666
18,0.0,0.36666666666666664
19,0.0,0.3
20,0.0,0.23333333333333334
21,0.0,0.36666666666666664
22,0.0,0.23333333333333334
23,0.0,0.3
24,0.0,0.26666666666666666
25,0.0,0.3
26,0.0,0.2
27,0.0,0.3333333333333333
28,0.0,0.2
29,0.0,0.43333333333333335
30,0.0,0.16666666666666666
31,0.0,0.23333333333333334
32,0.0,0.23333333333333334
33,0.0,0.16666666666666666
34,0.0,0.16666666666666666
35,0.0,0.3333333333333333
36,0.0,0.23333333333333334
37,0.0,0.23333333333333334
38,0.0,0.23333333333333334
39,0.0,0.26666666666666666
40,0.0,0.23333333333333334
41,0.0,0.2
42,0.0,0.36666666666666664
43,0.0,0.2
44,0.0,0.26666666666666666
45,0.0,0.4666666666666667
46,0.0,0.3
47,0.0,0.3
48,0.0,0.26666666666666666
49,0.0,0.16666666666666666
50,0.0,0.2
